Table: Total Primary Energy Consumption per Capita (Million Btu per Person);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009
Colombia;;26.14817;26.28961;27.55848;27.36409;29.30622;29.02572;29.62113;26.50746;28.93606;29.35927;26.8301;28.55032;28.25993;28.37679;30.60541;29.93411;32.06314;32.63553;32.51621;30.58665;30.12788;29.603;29.15258;29.80717;29.71896;30.57707;31.22739;31.73391;31.60747;30.64173
Costa Rica;;24.12001;24.26652;23.01555;24.58702;23.02108;22.44308;21.38743;23.03712;24.29912;25.69261;24.61051;25.65032;27.82556;28.48944;30.27276;30.67206;30.20443;32.60868;32.6416;35.00297;36.14945;36.62213;37.94026;39.29651;39.4825;38.33107;40.79402;42.38606;43.18273;41.53303
Cuba;;47.2732;47.77418;51.21702;46.52508;47.70086;48.09297;49.37208;48.23367;48.52164;49.02913;47.38072;43.55751;38.22016;34.43116;38.02607;38.53153;39.2494;43.08355;40.83554;41.2899;41.35003;41.73017;41.64083;41.17946;45.99506;39.79542;31.28368;32.64524;31.31391;33.58148
Dominica;;6.44893;8.35879;8.18401;8.98958;9.17708;9.93391;9.91605;10.75977;13.49621;14.34762;14.44323;14.42792;14.34145;14.24105;16.88448;18.8647;18.98512;19.33331;21.05641;21.70247;20.92045;24.56282;26.68247;28.35389;26.17651;22.14136;26.93485;26.63227;28.08688;31.86925
Dominican Republic;;15.31664;14.81708;15.28268;17.80599;15.05629;16.73811;16.73373;18.94369;19.6732;18.3592;19.58241;19.5478;19.90138;17.146;19.23188;20.50567;21.8477;22.63913;22.97998;26.16774;27.64547;28.39287;28.83143;32.15423;30.07814;29.69136;30.26592;31.15816;30.75553;32.54311
Ecuador;;23.54789;23.723;25.21968;22.95356;23.55549;24.34422;25.48443;24.49383;24.73885;23.60585;24.59874;25.7043;28.25457;23.65122;28.56886;27.35176;28.83816;29.0748;29.05498;27.37781;27.68984;28.57644;28.46635;28.76802;29.33016;29.786;31.87415;33.32802;39.93563;35.4063
El Salvador;;9.90524;9.18827;9.27649;9.36653;9.81014;9.66034;10.13827;9.65033;10.35287;10.34383;10.43984;10.15055;11.34747;10.63757;12.64403;15.32582;15.4319;15.30168;17.25888;17.8657;17.15352;17.78214;17.51834;19.06735;18.6234;19.54427;20.2377;20.38138;19.95468;19.77516
Falkland Islands (Islas Malvinas);;86;86.5;86.5;86.5;87;107.5;108.02512;108.02512;216.36622;196.75964;174.97286;174.97286;174.4948;174.47631;174.97286;196.75964;218.81339;198.51823;151.49804;140.67675;138.54698;136.77427;150.00104;148.15781;161.92675;176.99729;192.04094;219.8536;215.34112;208.33822
French Guiana;;73.57143;63.27143;80.64286;72.625;57.9125;51.7;60.23424;59.77909;64.19042;72.33297;79.22202;89.59779;66.21117;86.80625;83.48138;88.82092;88.57824;83.26961;79.69024;79.69024;80.54455;77.3256;77.38093;78.75347;74.48972;77.58163;78.2869;75.38428;70.63778;77.91741
Grenada;;7.41981;8.29417;9.20856;8.95964;9.19796;9.43487;10.42243;10.8935;11.74313;12.23524;18.92016;18.94912;19.32496;18.8712;24.52534;22.60383;24.71728;30.95884;27.66122;27.49687;17.76633;31.10982;33.56459;33.80959;33.84648;34.55643;36.18789;35.63762;36.62326;43.41634
Guadeloupe;;20.97033;29.80826;37.39589;38.8;42.38286;37.86723;38.48986;43.1804;46.65575;50.40794;52.89578;53.99112;48.90808;52.24812;57.0949;58.56395;56.64358;57.68666;57.80392;57.80662;61.20831;62.14473;62.73453;66.58615;67.15277;70.32319;73.6661;81.68591;83.40446;74.68078
Guatemala;;10.10108;8.37477;8.31218;8.76385;7.32325;7.99104;8.34417;8.01018;8.38714;8.57596;8.99756;8.54301;9.15129;8.92247;10.6116;10.73172;11.31554;12.30286;13.33071;14.00832;14.19752;14.9931;14.60436;15.09192;16.41684;17.17344;16.71989;16.44372;15.38379;16.26562
Guyana;;28.20555;31.94944;25.6355;22.6457;25.88755;26.30812;25.31519;19.21498;19.06369;12.71794;12.20405;14.08347;16.14646;19.8534;20.26616;17.2906;18.4781;20.2618;25.50134;26.86929;29.14698;29.9449;30.57603;30.01538;26.96023;29.78182;28.5619;28.62595;29.48422;28.09706
Haiti;;2.72289;1.93531;2.49122;2.19219;2.18226;2.44303;2.34578;3.33304;3.55284;3.20813;2.07883;2.04682;2.16514;1.51927;1.35111;2.06531;2.35401;2.76246;2.67392;2.83827;2.86237;3.03599;3.03977;2.97034;2.96937;2.95414;2.97598;3.05994;3.71334;3.23363
